,visitor,home,dates,visitor_score,home_score
624,CLE,HOU,20190111,113,141
625,DAL,MIN,20190111,119,115
626,CHO,POR,20190111,96,127
627,LAL,UTA,20190111,95,113
628,CHI,GSW,20190111,109,146
629,DET,LAC,20190112,109,104
630,MEM,MIA,20190112,108,112
631,BOS,ORL,20190112,103,105
632,NOP,MIN,20190112,106,110
633,SAS,OKC,20190112,112,122
634,DEN,PHO,20190112,93,102
635,CHO,SAC,20190112,97,104
636,CHI,UTA,20190112,102,110
637,PHI,NYK,20190113,108,105
638,TOR,WAS,20190113,140,138
639,MIL,ATL,20190113,133,114
640,HOU,ORL,20190113,109,116
641,GSW,DAL,20190113,119,114
642,POR,DEN,20190113,113,116
643,CLE,LAL,20190113,101,95
644,BOS,BRK,20190114,102,109
645,MEM,HOU,20190114,94,112
646,CHO,SAS,20190114,108,93
647,DET,UTA,20190114,94,100
648,POR,SAC,20190114,107,115
649,NOP,LAC,20190114,121,117
650,PHO,IND,20190115,97,131
651,MIN,PHI,20190115,107,149
652,OKC,ATL,20190115,126,142
653,MIA,MIL,20190115,86,124
654,GSW,DEN,20190115,142,111
655,CHI,LAL,20190115,100,107
656,ORL,DET,20190116,115,120
657,TOR,BOS,20190116,108,117
658,BRK,HOU,20190116,145,142
659,MIL,MEM,20190116,111,101
660,SAS,DAL,20190116,105,101
661,CLE,POR,20190116,112,129
662,NOP,GSW,20190116,140,147
663,UTA,LAC,20190116,129,109
664,NYK,WAS,20190117,100,101
665,SAC,CHO,20190117,95,114
666,PHI,IND,20190117,120,96
667,PHO,TOR,20190117,109,111
668,CHI,DEN,20190117,105,135
669,LAL,OKC,20190117,138,128
670,MEM,BOS,20190118,116,122
671,MIA,DET,20190118,93,98
672,BRK,ORL,20190118,117,115
673,SAS,MIN,20190118,116,113
674,CLE,UTA,20190118,99,115
675,GSW,LAC,20190118,112,94
676,NOP,POR,20190118,112,128
677,OKC,PHI,20190119,117,115
678,PHO,CHO,20190119,115,135
679,SAC,DET,20190119,103,101
680,DAL,IND,20190119,99,111
681,MIL,ORL,20190119,118,108
682,BOS,ATL,20190119,113,105
683,MEM,TOR,20190119,90,119
684,MIA,CHI,20190119,117,103
685,LAL,HOU,20190119,134,138
686,CLE,DEN,20190119,102,124
687,CHO,IND,20190120,95,120
688,PHO,MIN,20190120,114,116
689,LAC,SAS,20190120,103,95
690,OKC,NYK,20190121,127,109
691,CHI,CLE,20190121,104,88
692,DAL,MIL,20190121,106,116
693,DET,WAS,20190121,87,101
694,ORL,ATL,20190121,122,103
695,SAC,BRK,20190121,94,123
696,NOP,MEM,20190121,105,85
697,MIA,BOS,20190121,99,107
698,HOU,PHI,20190121,93,121
699,POR,UTA,20190121,109,104
700,GSW,LAL,20190121,130,111
701,SAC,TOR,20190122,105,120
702,POR,OKC,20190122,114,123
703,LAC,DAL,20190122,98,106
704,MIN,PHO,20190122,118,91
705,TOR,IND,20190123,106,110
706,CLE,BOS,20190123,103,123
707,ORL,BRK,20190123,110,114
708,LAC,MIA,20190123,111,99
