,visitor,home,dates,visitor_score,home_score
362,BRK,HOU,20161212,118,122
363,DEN,DAL,20161212,92,112
364,POR,LAC,20161212,120,121
365,LAL,SAC,20161212,92,116
366,MEM,CLE,20161213,86,103
367,ORL,ATL,20161213,131,120
368,MIN,CHI,20161213,99,94
369,GSW,NOP,20161213,113,109
370,NYK,PHO,20161213,111,113
371,OKC,POR,20161213,95,114
372,IND,MIA,20161214,89,95
373,LAC,ORL,20161214,113,108
374,TOR,PHI,20161214,123,114
375,CHO,WAS,20161214,106,109
376,LAL,BRK,20161214,97,107
377,SAC,HOU,20161214,98,132
378,CLE,MEM,20161214,85,93
379,DET,DAL,20161214,95,85
380,OKC,UTA,20161214,89,109
381,BOS,SAS,20161214,101,108
382,CHI,MIL,20161215,97,108
383,IND,NOP,20161215,95,102
384,POR,DEN,20161215,120,132
385,SAS,PHO,20161215,107,92
386,NYK,GSW,20161215,90,103
387,BRK,ORL,20161216,111,118
388,DET,WAS,20161216,108,122
389,CHO,BOS,20161216,88,96
390,ATL,TOR,20161216,125,121
391,MIL,CHI,20161216,95,69
392,NOP,HOU,20161216,100,122
393,SAC,MEM,20161216,96,92
394,LAC,MIA,20161216,102,98
395,LAL,PHI,20161216,100,89
396,DAL,UTA,20161216,100,103
397,PHO,OKC,20161217,101,114
398,IND,DET,20161217,105,90
399,CHO,ATL,20161217,107,99
400,LAL,CLE,20161217,108,119
401,HOU,MIN,20161217,111,109
402,NYK,DEN,20161217,114,127
403,POR,GSW,20161217,90,135
404,LAC,WAS,20161218,110,117
405,SAC,DAL,20161218,79,99
406,UTA,MEM,20161218,82,73
407,BOS,MIA,20161218,105,95
408,TOR,ORL,20161218,109,79
409,BRK,PHI,20161218,107,108
410,NOP,SAS,20161218,100,113
411,WAS,IND,20161219,105,107
412,DET,CHI,20161219,82,113
413,PHO,MIN,20161219,108,115
414,ATL,OKC,20161219,110,108
415,DAL,DEN,20161219,107,117
416,LAL,CHO,20161220,113,117
417,NOP,PHI,20161220,108,93
418,ORL,MIA,20161220,136,130
419,IND,NYK,20161220,111,118
420,BRK,TOR,20161220,104,116
421,SAS,HOU,20161220,102,100
422,BOS,MEM,20161220,112,109
423,CLE,MIL,20161220,114,108
424,UTA,GSW,20161220,74,104
425,DEN,LAC,20161220,102,119
426,POR,SAC,20161220,121,126
427,MIL,CLE,20161221,102,113
428,MIN,ATL,20161221,92,84
429,MEM,DET,20161221,98,86
430,WAS,CHI,20161221,107,97
431,OKC,NOP,20161221,121,110
432,HOU,PHO,20161221,125,111
433,SAC,UTA,20161221,94,93
434,DAL,POR,20161221,96,95
435,BOS,IND,20161222,109,102
436,GSW,BRK,20161222,117,101
437,ORL,NYK,20161222,95,106
438,LAL,MIA,20161222,107,115
439,SAS,LAC,20161222,101,106
440,CHI,CHO,20161223,91,103
441,LAL,ORL,20161223,90,109
442,OKC,BOS,20161223,117,112
443,BRK,CLE,20161223,99,119
444,GSW,DET,20161223,119,113
445,HOU,MEM,20161223,109,115
446,WAS,MIL,20161223,96,123
447,SAC,MIN,20161223,109,105
448,MIA,NOP,20161223,87,91
449,ATL,DEN,20161223,109,108
450,PHI,PHO,20161223,116,123
451,TOR,UTA,20161223,104,98
452,SAS,POR,20161223,110,90
453,DAL,LAC,20161223,90,88
454,BOS,NYK,20161225,119,114
455,GSW,CLE,20161225,108,109
456,CHI,SAS,20161225,100,119
457,MIN,OKC,20161225,100,112
458,LAC,LAL,20161225,102,111
459,MEM,ORL,20161226,102,112
460,MIL,WAS,20161226,102,107
461,CHO,BRK,20161226,118,120
462,CLE,DET,20161226,90,106
463,IND,CHI,20161226,85,90
464,PHO,HOU,20161226,115,131
465,ATL,MIN,20161226,90,104
466,DAL,NOP,20161226,104,111
467,TOR,POR,20161226,95,91
468,DEN,LAC,20161226,106,102
469,PHI,SAC,20161226,100,102
470,MEM,BOS,20161227,103,113
471,OKC,MIA,20161227,106,94
472,HOU,DAL,20161227,123,107
473,UTA,LAL,20161227,102,100
474,CHO,ORL,20161228,120,101
475,IND,WAS,20161228,105,111
476,NYK,ATL,20161228,98,102
477,MIL,DET,20161228,119,94
478,BRK,CHI,20161228,99,101
479,LAC,NOP,20161228,98,102
480,PHO,SAS,20161228,98,119
481,MIN,DEN,20161228,103,105
482,SAC,POR,20161228,89,102
483,TOR,GSW,20161228,111,121
484,MIA,CHO,20161229,82,91
485,BOS,CLE,20161229,118,124
486,OKC,MEM,20161229,80,114
487,TOR,PHO,20161229,91,99
488,PHI,UTA,20161229,83,100
489,DAL,LAL,20161229,101,89
490,CHI,IND,20161230,101,111
491,BRK,WAS,20161230,95,118
492,MIA,BOS,20161230,114,117
493,DET,ATL,20161230,98,105
494,LAC,HOU,20161230,116,140
495,MIL,MIN,20161230,99,116
496,NYK,NOP,20161230,92,104
497,POR,SAS,20161230,94,110
498,PHI,DEN,20161230,124,122
499,DAL,GSW,20161230,99,108
500,MEM,SAC,20161231,112,98
501,MIL,CHI,20161231,116,96
502,CLE,CHO,20161231,121,109
503,NYK,HOU,20161231,122,129
504,LAC,OKC,20161231,88,114
505,PHO,UTA,20161231,86,91
506,SAS,ATL,20170101,112,114
507,ORL,IND,20170101,104,117
508,DET,MIA,20170101,107,98
509,POR,MIN,20170101,95,89
510,TOR,LAL,20170101,123,114
511,NOP,CLE,20170102,82,90
512,OKC,MIL,20170102,94,98
513,UTA,BRK,20170102,101,89
514,ORL,NYK,20170102,115,103
515,CHO,CHI,20170102,111,118
516,WAS,HOU,20170102,91,101
517,DEN,GSW,20170102,119,127
518,PHO,LAC,20170102,98,109
519,MIN,PHI,20170103,91,93
520,UTA,BOS,20170103,104,115
521,IND,DET,20170103,121,116
522,WAS,DAL,20170103,105,113
523,TOR,SAS,20170103,82,110
524,SAC,DEN,20170103,120,113
525,MIA,PHO,20170103,90,99
526,MEM,LAL,20170103,102,116
527,OKC,CHO,20170104,112,123
528,ATL,ORL,20170104,111,92
529,MIL,NYK,20170104,105,104
530,CHI,CLE,20170104,106,94
531,POR,GSW,20170104,117,125
532,MEM,LAC,20170104,106,115
533,MIA,SAC,20170104,107,102
534,BRK,IND,20170105,109,121
535,CHO,DET,20170105,114,115
536,UTA,TOR,20170105,93,101
537,OKC,HOU,20170105,116,118
538,ATL,NOP,20170105,99,94
539,PHO,DAL,20170105,102,95
540,SAS,DEN,20170105,127,99
541,LAL,POR,20170105,109,118
542,HOU,ORL,20170106,100,93
543,MIN,WAS,20170106,105,112
544,PHI,BOS,20170106,106,110
545,CLE,BRK,20170106,116,108
546,NYK,MIL,20170106,116,111
547,MEM,GSW,20170106,128,119
548,MIA,LAL,20170106,100,127
549,LAC,SAC,20170106,106,98
550,NYK,IND,20170107,109,123
551,NOP,BOS,20170107,108,117
552,TOR,CHI,20170107,118,123
553,UTA,MIN,20170107,94,92
554,DEN,OKC,20170107,106,121
555,ATL,DAL,20170107,97,82
556,CHO,SAS,20170107,85,102
557,PHI,BRK,20170108,105,95
558,WAS,MIL,20170108,107,101
559,MIA,LAC,20170108,86,98
560,HOU,TOR,20170108,129,122
561,UTA,MEM,20170108,79,88
562,CLE,PHO,20170108,120,116
563,DET,POR,20170108,125,124
564,GSW,SAC,20170108,117,106
565,ORL,LAL,20170108,95,111
566,NOP,NYK,20170109,110,96
567,OKC,CHI,20170109,109,94
568,DAL,MIN,20170109,92,101
569,CHI,WAS,20170110,99,101
570,ATL,BRK,20170110,117,97
571,BOS,TOR,20170110,106,114
572,CHO,HOU,20170110,114,121
573,MIL,SAS,20170110,109,107
574,CLE,UTA,20170110,92,100
575,MIA,GSW,20170110,95,107
576,POR,LAL,20170110,108,87
577,DET,SAC,20170110,94,100
578,NYK,PHI,20170111,97,98
579,WAS,BOS,20170111,108,117
580,HOU,MIN,20170111,105,119
581,MEM,OKC,20170111,95,103
582,ORL,LAC,20170111,96,105
583,CLE,POR,20170111,86,102
584,IND,DEN,20170112,112,140
585,NOP,BRK,20170112,104,95
586,CHI,NYK,20170112,89,104
587,LAL,SAS,20170112,94,134
588,DAL,PHO,20170112,113,108
589,DET,GSW,20170112,107,127
590,CHO,PHI,20170113,93,102
591,BRK,TOR,20170113,113,132
592,BOS,ATL,20170113,103,101
593,MEM,HOU,20170113,110,105
594,MIA,MIL,20170113,108,116
595,OKC,MIN,20170113,86,96
596,ORL,POR,20170113,115,109
597,CLE,SAC,20170113,120,108
598,DET,UTA,20170113,77,110
599,LAL,LAC,20170114,97,113
600,NOP,CHI,20170114,99,107
601,SAS,PHO,20170114,105,108
602,PHI,WAS,20170114,93,109
603,ORL,UTA,20170114,107,114
604,MIN,DAL,20170115,87,98
605,MIL,ATL,20170115,98,111
606,NYK,TOR,20170115,101,116
607,HOU,BRK,20170115,137,112
608,CHI,MEM,20170115,108,104
609,OKC,SAC,20170115,122,118
610,DET,LAL,20170115,102,97
611,ATL,NYK,20170116,108,107
612,POR,WAS,20170116,101,120
613,PHI,MIL,20170116,113,104
614,NOP,IND,20170116,95,98
615,ORL,DEN,20170116,112,125
616,CHO,BOS,20170116,98,108
617,CLE,GSW,20170116,91,126
618,UTA,PHO,20170116,106,101
619,OKC,LAC,20170116,98,120
620,TOR,BRK,20170117,119,109
621,HOU,MIA,20170117,103,109
622,DAL,CHI,20170117,99,98
623,MIN,SAS,20170117,114,122
624,DEN,LAL,20170117,127,121
625,POR,CHO,20170118,85,107
626,TOR,PHI,20170118,89,94
627,MEM,WAS,20170118,101,104
628,NYK,BOS,20170118,117,106
629,ATL,DET,20170118,95,118
630,MIL,HOU,20170118,92,111
631,ORL,NOP,20170118,98,118
632,OKC,GSW,20170118,100,121
633,IND,SAC,20170118,106,100
634,PHO,CLE,20170119,103,118
635,DAL,MIA,20170119,95,99
636,WAS,NYK,20170119,113,110
637,DEN,SAS,20170119,104,118
638,MIN,LAC,20170119,104,101
639,TOR,CHO,20170120,78,113
640,MIL,ORL,20170120,96,112
641,POR,PHI,20170120,92,93
