,player,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,team,year
467,Lg,20,3,3,9,13,11,12,4,6,11,5,4,27,2,1,1,4,7,19,20,29,3,MEM,2014
468,Team,19905,3097,6763,.458,423,1246,.339,2674,5517,.485,1445,1869,.773,856,2634,3490,1777,700,347,1094,1567,8062,MEM,2015
469,Team/G,242.7,37.8,82.5,.458,5.2,15.2,.339,32.6,67.3,.485,17.6,22.8,.773,10.4,32.1,42.6,21.7,8.5,4.2,13.3,19.1,98.3,MEM,2015
470,Lg,6,14,23,9,29,29,22,1,2,19,10,14,7,21,15,21,15,6,24,7,9,20,MEM,2015
471,Opponent,19905,2954,6684,.442,663,1889,.351,2291,4795,.478,1225,1651,.742,864,2616,3480,1652,604,424,1257,1662,7796,MEM,2015
472,Opponent/G,242.7,36.0,81.5,.442,8.1,23.0,.351,27.9,58.5,.478,14.9,20.1,.742,10.5,31.9,42.4,20.1,7.4,5.2,15.3,20.3,95.1,MEM,2015
473,Lg,6,4,5,10,18,21,18,3,6,10,2,2,7,8,11,8,4,8,20,8,15,2,MEM,2015
474,Team,19830,3118,6603,.472,779,2179,.358,2339,4424,.529,1814,2549,.712,920,2797,3717,1755,621,461,1323,1676,8829,HOU,2014
475,Team/G,241.8,38.0,80.5,.472,9.5,26.6,.358,28.5,54.0,.529,22.1,31.1,.712,11.2,34.1,45.3,21.4,7.6,5.6,16.1,20.4,107.7,HOU,2014
476,Lg,15,15,26,5,1,1,16,25,30,2,1,1,28,15,3,4,18,17,3,29,15,2,HOU,2014
477,Opponent,19830,3197,7218,.443,666,1889,.353,2531,5329,.475,1395,1844,.757,977,2439,3416,1821,704,460,1149,1993,8455,HOU,2014
478,Opponent/G,241.8,39.0,88.0,.443,8.1,23.0,.353,30.9,65.0,.475,17.0,22.5,.757,11.9,29.7,41.7,22.2,8.6,5.6,14.0,24.3,103.1,HOU,2014
479,Lg,15,24,29,7,20,25,9,21,26,7,10,11,15,28,3,8,17,28,26,22,1,23,HOU,2014
480,Team,19805,3032,6832,.444,933,2680,.348,2099,4152,.506,1525,2133,.715,958,2624,3582,1820,777,407,1366,1803,8522,HOU,2015
481,Team/G,241.5,37.0,83.3,.444,11.4,32.7,.348,25.6,50.6,.506,18.6,26.0,.715,11.7,32.0,43.7,22.2,9.5,5.0,16.7,22.0,103.9,HOU,2015
482,Lg,20,21,12,20,1,1,14,29,30,5,5,2,27,7,18,14,9,3,10,28,27,6,HOU,2015
483,Opponent,19805,3092,6983,.443,605,1881,.322,2487,5102,.487,1451,1932,.751,973,2621,3594,1752,726,437,1342,1730,8240,HOU,2015
484,Opponent/G,241.5,37.7,85.2,.443,7.4,22.9,.322,30.3,62.2,.487,17.7,23.6,.751,11.9,32.0,43.8,21.4,8.9,5.3,16.4,21.1,100.5,HOU,2015
485,Lg,20,15,25,12,8,18,1,21,23,17,20,19,17,29,13,19,12,29,22,3,7,17,HOU,2015
486,Team,19855,3101,6761,.459,486,1303,.373,2615,5458,.479,1489,1936,.769,933,2486,3419,1745,647,523,1129,1857,8177,NOP,2014
487,Team/G,242.1,37.8,82.5,.459,5.9,15.9,.373,31.9,66.6,.479,18.2,23.6,.769,11.4,30.3,41.7,21.3,7.9,6.4,13.8,22.6,99.7,NOP,2014
488,Lg,10,17,17,11,29,29,6,4,3,18,11,12,11,13,25,22,19,12,1,6,27,18,NOP,2014
489,Opponent,19855,3055,6567,.465,652,1827,.357,2403,4740,.507,1637,2176,.752,881,2538,3419,1845,577,504,1185,1664,8399,NOP,2014
490,Opponent/G,242.1,37.3,80.1,.465,8.0,22.3,.357,29.3,57.8,.507,20.0,26.5,.752,10.7,31.0,41.7,22.5,7.0,6.1,14.5,20.3,102.4,NOP,2014
491,Lg,10,12,5,24,14,20,13,11,4,27,28,29,8,15,8,9,20,4,29,15,19,19,NOP,2014
492,Team,19780,3108,6795,.457,586,1583,.370,2522,5212,.484,1345,1790,.751,942,2621,3563,1806,553,510,1087,1530,8147,NOP,2015
493,Team/G,241.2,37.9,82.9,.457,7.1,19.3,.370,30.8,63.6,.484,16.4,21.8,.751,11.5,32.0,43.5,22.0,6.7,6.2,13.3,18.7,99.4,NOP,2015
494,Lg,23,11,19,10,19,23,4,12,9,21,20,20,17,10,19,16,11,25,1,6,6,16,NOP,2015
495,Opponent,19780,3108,6814,.456,537,1605,.335,2571,5209,.494,1329,1751,.759,870,2537,3407,1700,555,475,1003,1533,8082,NOP,2015
